Title,Source,Date
Trump climate change order expected today,Charleston Gazette - Mail,2017-03-28
Trump order softens laws on climate change,Boston Globe (Online),2017-03-28
Trump's climate order could take some time,Washington Examiner,2017-03-28
"Clean Power Plan undone by Trump executive order, reining in one of Obama's costliest regulations",Washington Examiner,2017-03-28
"Energy independence, not climate change, becomes priority under Trump order",USA Today (Online),2017-03-28
Hillary Clinton: Trump's order to undo Obama climate plan puts 'American lives at risk',Washington Examiner,2017-03-28
Trump to sign executive order to reverse Obama's climate policies,IANS English,2017-03-28
Trump to sign order sweeping away Obama-era climate policies,The Peninsula,2017-03-28
Green Group To Challenge Trump Order Repealing Climate Change Policies,RTTNews,2017-03-28
U.S. News: Trump Moves To Roll Back Obama Policy On Climate,Wall Street Journal,2017-03-28
Texas GOP welcomes Trump order repealing climate regulations,The Texas Tribune,2017-03-28
Trump's executive order rolling back Obama's climate regulations: FULL TEXT,Washington Examiner,2017-03-28
Trump to sign order reversing Obama's climate policies,MaltaToday,2017-03-28
Trump tears up US climate policy [Eire Region],Daily Express,2017-03-29
Trump's energy order diverts climate focus: Environmentalists protest president's 'new era' of production,The Post - Crescent,2017-03-29
"Strong reaction to Trump order on energy, climate",Courier - Journal,2017-03-29
TRUMP SIGNS RULE TO BLOCK EFFORTS ON AIDING CLIMATE: Executive Order Is Intended to Dismantle Obama Plan on Curbing Carbon,New York Times (1923-),2017-03-29
Trump signs order dismantling Obama-era climate policies,Businessline,2017-03-29
Trump's order undoing climate policies met with NY opposition,Newsday,2017-03-29
Trump signs executive order unwinding Obama climate policies,Vietnam News Gazette,2017-03-29
Trump signs order undoing Obama climate change policies,IANS English,2017-03-29
"President Trump goes in reverse on the environment: Fundamental dishonesty is at the heart of Trump's executive order, which seeks to unravel large parts of former President Barack Obama's climate change policy.",Newsday,2017-03-29
Trump signs climate order [Northeast Region],Daily Post,2017-03-29
Trump Ends 'War On Coal'; Executive Order Reverses Obama Climate-Change Measures,National Post,2017-03-29
"Trump's climate policy and N.J.: Rough seas ahead: Scientists: Order could harm air quality, shore conditions",North Jersey Herald News,2017-03-29
Trump moves to dismantle Obama's climate legacy with executive order,The Hindustan Times,2017-03-29
Trump signs order at EPA to start dismantling environmental protections,The Washington Post,2017-03-29
Trump signs order overhauling Obama's attempts to slow climate change,IANS English,2017-03-29
Holcomb lauds climate rules slash: Governor: Trump order to unravel Clean Power Plan frees state from overregulation,Indianapolis Star,2017-03-29
"Trump order on climate misguided, will hurt Americans: Green advocates (News Analysis)",IANS English,2017-03-29
Trump order signals change over clean energy,Western Mail,2017-03-29
Trump to gut Obama climate policy,The Hindu,2017-03-29
Trump order on clean power to hit Paris pact; poor nations to lose funding,Businessline,2017-03-29
"Trump administration seeks delay in ruling on climate plan; WASHINGTON -- Hours after President Donald Trump signed an executive order seeking to undo his predecessor's efforts to curb climate change, his administration has asked a federal",Tribune - Review / Pittsburgh Tribune - Review,2017-03-29
Trump tears up US climate policy,Daily Express,2017-03-29
Trump signs climate order,Daily Post,2017-03-29
U.S. News: Trump Loosens Obama's Climate Rules --- President says rollback will save coal jobs; order draws EU rebuke; Asia backs Paris accord,The Wall Street Journal Asia,2017-03-30
Local leaders condemn new EPA head as Trump signs order,News Journal,2017-03-30
Trump exposes climate deal: Power plants executive order shows that Paris Agreement is a paper tiger,USA TODAY,2017-03-30
United States: Main Points in Trump Climate Policy Executive Order,Asia News Monitor,2017-03-30
EPA backfires in trying to praise Trump's climate order,Washington Examiner,2017-03-30
power struggle: Clean energy plan supporters will fight Trump's coal order,The Spectrum,2017-03-30
China says committed to Paris accord as Trump undoes US climate policy,Egypt Independent,2017-03-30
Trump's coal revival will make it harder to breathe: His executive order won't arrest the loss of jobs - but it could do a lot to hurt public health and the climate.,Portland Press Herald,2017-03-31
Democrats Introduce Bill To Rescind Trump's Anti-Climate Executive Order,RTTNews,2017-03-31
TVA expects no impact from Trump's order: Executive order reverses former rules about clean power,The Tennessean,2017-03-31
"Trump order: Now is not time to change course on climate change, says UNEP Chief",IANS English,2017-03-31
Trump policy is an opening for Canada: Climate action,Toronto Star,2017-03-31
"Cities, states take up climate fight: Efforts to cut emissions locally proceed, despite Trump's order to repeal the Clean Power Plan",Dayton Daily News,2017-04-02
"Trump's climate order puts water, coast, assets at risk",Florida Today,2017-04-02
President Trump undoes climate policy,Philadelphia Tribune,2017-04-02
Trump's order can't stop action on climate change: US advocacy group,IANS English,2017-04-03
Trump's order to undo climate change policies is a setback to Paris Agreement,The New Times,2017-04-04
'Dear Donald' - MEPs pen ‘love letter’ to President Trump to scrap climate change policy,Express (Online),2017-04-07
"Press Secretary Spicer's blunder hard to believe; Secretary Spicer owns up ; to mistakes, unlike Trump; Commissioners, honk if you hear our parking concerns; Local officials right to heed climate change warnings; Stroke Registry bill will help",South Florida Sun - Sentinel,2017-04-13
Environmental Law: Trump reverses past climate change policies with energy independence order,Daily Record,2017-04-17
Trump's climate order could be a nightmare,Wyoming Tribune - Eagle,2017-04-18
Why the US should stay in the Paris climate agreement: This is a pivotal moment. Trump's executive order specifying plans to roll back Obama's climate policies was silent on the Paris accord,Boston Globe,2017-04-21
Bernie Sanders rallies anti-Trump protesters with climate bill,Washington Examiner,2017-04-26
Trump to sign order to open up more offshore drilling,Washington Examiner,2017-04-27
Trump signs order to increase offshore oil drilling,Washington Examiner,2017-04-28
Trump Is Expected to Sign Order To Relax Offshore Drilling Curbs,New York Times (1923-),2017-04-28
Trump Is Expected to Sign Order To Relax Offshore Drilling Curbs: [National Desk],New York Times,2017-04-28
U.S. News: Trump Order Eases Offshore Drilling,Wall Street Journal,2017-04-29
Trump signs executive order aimed at opening Arctic oil drilling,Telegraph-Journal,2017-04-29
"TRUMP EASES OIL DRILLING RULES: The order, crafted to create high-paying jobs, faces a Florida backlash.",Tampa Bay Times,2017-04-29
Experts: Long road ahead for Trump offshore drilling order,The Gazette,2017-04-29
Trump order aims to expand oil drilling,Telegraph - Herald,2017-04-29
"Trump: 'We're opening it up.'; Offshore drilling back on: Executive order seeks to reverse protections, could affect Va. coastal waters",Daily Press,2017-04-29
Trump signs executive order to expand offshore oil drilling,People's Daily,2017-04-29
Trump order seeks to expand offshore drilling,The Washington Post,2017-04-29
Experts: Long road ahead for offshore drilling order: Yearslong battle expected over Trump's authority,Corpus Christi Caller - Times,2017-04-30
China doubts U.S. climate pledge as Trump mulls Paris withdrawal,St. Louis Post - Dispatch,2017-04-30
Trump signs executive order to expand offshore drilling: But it will take years to rewrite federal leasing plans and open up these areas to drilling,The Business Times,2017-05-01
Leaders: Oil drilling order will hurt coast; Trump rolls back regulations implemented under Obama,Orlando Sentinel,2017-05-02
United States: Trump Signs Order Opening Arctic for Oil Drilling,Asia News Monitor,2017-05-02
EPA threatened by President Trump's executive order,Missoulian,2017-05-04
"WASHINGTON, 3 OTHER STATES FILE SUIT AGAINST TRUMP'S COAL LEASING ORDER Climate change, increase in trains key concerns",Spokesman Review,2017-05-10
White House wavers on Paris accord; Climate pact presents yet another policy reckoning for Trump amid fading support for campaign pledge.,Los Angeles Times,2017-05-26
Six G-7 members against one as Trump reviews climate policy,Cape Argus,2017-05-29
Congressman Andy Biggs' Statement on President Trump's Impending Decision on the Paris Climate Agreement,Yellow Sheet Report,2017-05-31
