Title,Source,Date
Pingree's speech guest: Climate policy expert Joel Clement blew the whistle in 2017 on alleged efforts by Trump's administration to 'silence science.',Portland Press Herald,2019-02-01
"Keeping climate in security conversation; Kaine, Democrats propose bill amid Trump team skepticism",Daily Press,2019-03-14
"Alaska judge blocks Trump's executive order, restores offshore drilling ban in Arctic Ocean",USA Today (Online),2019-03-31
Trump takes shot at shareholder climate change advocacy with pipeline order,Washington Examiner,2019-04-12
"Feds must ban offshore drilling near Florida: Despite election-year assurances from Rick Scott and President Trump, a special Florida exemption was never made official in law or policy.",Pensacola News Journal,2019-04-28
Democrats pass House bill to try to block Trump from exiting Paris climate deal,USA Today (Online),2019-05-02
Trump's Yemen policy survives Senate's veto override bid; St. Lucia quarantines ; cruise ship after measles case; Colorado Sen. Bennet enters Democratic presidential race; British cyber expert pleads guilty to creating malware; India prepares for,Morning Call,2019-05-03
"Aiming at Trump, House OKs bill to keep US in climate accord",Charleston Gazette - Mail,2019-05-03
Trump's Yemen policy survives Senate's veto override bid; NEWS BRIEFING; Staff and news services; St. Lucia quarantines cruise ship after measles case; Colorado Sen. Bennet enters Democratic presidential race; British cyber expert pleads guilty to,South Florida Sun - Sentinel,2019-05-03
"House Democrats reject Trump budget cuts, roll out $46.4B energy and climate spending bill",Washington Examiner,2019-05-14
"Editorial: From climate to foreign policy to trade, Trump's White House devalues expertise",St. Louis Post - Dispatch,2019-05-16
Green party leader defends President Higgins’ comments on Trump’s climate change policy,Western People,2019-06-05
The White House reportedly blocked climate testimony warning of a 'possibly catastrophic' future because it didn't 'jibe' with Trump's policy,Business Insider,2019-06-08
"Trump's UN envoy nominee defends climate record; Mexico becomes 1st to ratify trade deal with US, Canada; Senate panel OKs emergency aid for migrant refugees; Xi supports N. Korea's direction on issues ahead of visit to Kim; Schumer wants",Morning Call,2019-06-20
Clean energy policy slashed; EPA finalizes Trump's rollback of key Obama rule that targeted coal plants,Hartford Courant,2019-06-20
"Trump's UN envoy nominee defends climate record; NEWS BRIEFING; Staff and news services; Mexico becomes 1st to ratify trade deal with US, Canada; Senate panel OKs emergency aid for migrant refugees; Xi supports N. Korea's direction on issues",South Florida Sun - Sentinel,2019-06-20
"Trump's UN envoy nominee defends climate record; ; Mexico becomes 1st to ratify trade deal with US, Canada; Senate panel OKs emergency aid for migrant refugees; Xi supports N. Korea's direction on issues ahead of visit to Kim; Schumer wants",Orlando Sentinel,2019-06-20
Trump's climate policy: Why strain out the gnat while swallowing the camel?,Washington Examiner,2019-06-25
3 US states reject Trump policy on climate change,Manila Bulletin,2019-06-29
Trump's climate change policy; a malicious deception,Daily Times,2019-07-17
Secret FBI demands for data go beyond tech companies NEWS BRIEFING Staff and news services Judge: Trump must give video deposition in protesters' suit New York Mayor Bill de Blasio drops 2020 presidential bid Trial ordered for Marine and SEAL,Orlando Sentinel,2019-09-21
"Trump attends UN Climate Action Summit, sits through Modi's speech",Asian News International,2019-09-23
"Time for talk over, now act, Modi tells UN climate summit [Front Page]: Sceptic Trump Drops In To Hear PM's Speech",The Times of India (Online),2019-09-24
"Donald Trump mocks climate change activist Greta Thunberg, 16, after passionate speech to UN",Telegraph.co.uk,2019-09-24
Trump said Greta Thunberg seems like she has 'a bright and wonderful future' the same day she gave an impassioned speech at the UN about the devastating impact of climate change,Business Insider,2019-09-24
Trump slammed for trolling 16-year-old activist’s climate speech,Daily Monitor,2019-09-24
Trump slammed for trolling Greta Thunberg climate speech,Yerepouni Daily News,2019-09-24
News updates from Hindustan Times: Donald Trump mocks teen activist Greta Thunberg after her stirring speech at UN Climate Summit and all the latest news at this hour,The Hindustan Times,2019-09-24
World: Climate activist Greta Thunberg glares at Donald Trump after giving powerful speech at UN,Asia News Monitor,2019-09-25
"Wild criticizes foreign policy Calls Trump 'unpredictable'; also discusses workforce training, climate change, drug prices",Morning Call,2019-10-09
Trump pushes US withdrawal from Paris climate accord,Vietnam News Gazette,2019-10-24
United States/France: Trump Promotes Pulling US from Paris Climate Accord in Speech Touting 'America First',Asia News Monitor,2019-10-25
Senators introduce bipartisan bill to aid coolant climate deal on ice with Trump,Washington Examiner,2019-10-30
"US will leave Paris climate accord, Trump administration tells UN, starting one-year timetable for withdrawal",Washington Examiner,2019-11-04
THE WORLD; U.S. begins formal Paris accord exit; Trump's withdrawal from the landmark climate agreement will take another year to complete.,Los Angeles Times,2019-11-05
Paris withdrawal: Trump officially turns his back on climate crisis and our own children,USA Today (Online),2019-11-06
"Trump retreats on climate leadership: As he threatened, president starts a U.S. withdrawal from the Paris agreement.",Star Tribune,2019-11-10
"Paris accord one-sided, economically unfair: Trump again justifies US' withdrawal from climate agreement",Asian News International,2019-11-13
"2019 Year In Review; Bill Kaufmann looks back at a year filled with money trouble, climate change news, scandals and court tangles - and much ado about Trump",Calgary Herald,2019-12-31
Fate of ‘forever chemicals’ with Trump EPA as House passes bill scorned by Senate GOP,Washington Examiner,2020-01-10
Trump's EPA is said to cut scientists out of new water policy that threatens New England wetlands,Boston Globe (Online),2020-01-18
Trump knocks climate change 'prophets of doom' in speech attended by Greta Thunberg,Washington Examiner,2020-01-21
"Trump’s Davos talk shows he’s no Thatcher: U.S. President dismisses environmental activists in speech that would have been loathed by former British PM, who was ahead of her time on climate change",The Globe and Mail,2020-01-22
Donald Trump promises instant 'reaction' in crackdown on Brussels' climate change policy,Express (Online),2020-01-27
‘Truly sad’: Sanders condemns Trump for omitting climate change in State of the Union speech,Washington Examiner,2020-02-04
'Who?': Trump mocks teenage climate activist Greta Thunberg during CPAC speech,Washington Examiner,2020-02-29
Daily on Energy: Climate politics threaten bipartisan Senate energy bill meant to reach Trump's desk,Washington Examiner,2020-03-06
"Trump gutted protections for the Atlantic's only marine monument — now what?: In order to prevent the worst effects of climate change, scientists say 30 percent of America's land and ocean must be protected by 2030, a goal supported by 86",Boston Globe,2020-06-09
Trump bans oil drilling off state's Atlantic coast President signs order at Jupiter Inlet Lighthouse,South Florida Sun - Sentinel,2020-09-09
CALIFORNIA WILDFIRES; Newsom assails Trump over 'climate damn emergency'; Governor also signs Assembly bill to make it easier for inmate firefighters to get licensed upon release.,Los Angeles Times,2020-09-13
Biden attacks Trump's climate policy as wildfire ravages U.S. west coast,People's Daily,2020-09-15
Biden calls Trump a 'climate arsonist': Wildfires on West Coast fuel criticism in speech,The News Journal,2020-09-15
Biden attacks Trump's climate policy as wildfire ravages west coast,IANS English,2020-09-15
Trump signs order to protect hydraulic fracking,Asian News International,2020-11-01
Trump Says He Signed Executive Order to Protect Fracking,The Epoch Times,2020-11-02
Biden moves to unravel key Trump policy calls: ? President-elect pledges to halt WHO exit and re-enter Paris climate accord ? Pandemic task force announced as incumbent repeats 'stolen' vote claims [Asia Region],Financial Times,2020-11-09
Biden moves to unravel key Trump policy calls: ? President-elect pledges to halt WHO exit and re-enter Paris climate accord ? Pandemic task force announced as incumbent repeats 'stolen' vote claims,Financial Times,2020-11-09
Biden moves to unravel key Trump policy calls: ? President-elect pledges to halt WHO exit and re-enter Paris climate accord ? Pandemic task force announced as incumbent repeats 'stolen' vote claims [Europe Region],Financial Times,2020-11-09
Biden moves to unravel key Trump policy calls: ? President-elect pledges to halt WHO exit and re-enter Paris climate accord ? Pandemic task force announced as incumbent repeats 'stolen' vote claims [Middleeast Region],Financial Times,2020-11-09
Biden moves to unravel key Trump policy calls: ? President-elect pledges to halt WHO exit and re-enter Paris climate accord ? Pandemic task force announced as incumbent repeats 'stolen' vote claims [Usa Region],Financial Times,2020-11-09
What Biden's election means for climate action: Trump's withdrawal from the deal kicked off a race to the bottom,Irish Independent,2020-11-14
Trump savages Paris Agreement in scathing G20 summit speech - ‘Kill the American economy!',Express (Online),2020-11-23
New Trump EPA policy would rule out emissions controls for all industries but power plants,Washington Examiner,2021-01-12
Biden promises a new era in climate policy-but first he must undo Trump’s damage,Telegraph.co.uk,2021-01-19
"Biden presidency is likely to deviate from Trump administration on foreign policy, climate change, race relations",Indian Express,2021-02-11
EPA reverses Trump policy that loosened clean-air rules,Philadelphia Tribune,2021-05-14
"Biden freezes Arctic drilling rights sold before Trump left office: Environmental review The Biden administration has announ- ced it will suspend the Arctic oil drilling rights sold in the last days of Donald Trump's presidency, reversing a policy of the previous",Financial Times,2021-06-03
U.S. News: EPA Poised to Revise Clean-Water Rules --- New regulatory process is designed to expand protections and undo policy under Trump,Wall Street Journal,2021-06-10
Former Trump EPA Official Questions Court Order Striking Down Key Water Rule,The Epoch Times,2021-09-13
"Biden says 'I guess I shouldn't apologize, but I do apologize' for the Trump administration's withdrawal from the Paris climate accord",Business Insider,2021-11-01
Biden apologizes to counterparts for Trump-era inaction on climate policy,The Washington Post,2021-11-02
Solar chief attacks Biden's climate policy: Energy Solv boss claims mixed messages are worse than Trump amid tariff probe,Financial Times,2022-04-04
"Trump blasts the Democratic-led climate and tax bill, says 'old broken crow' Mitch McConnell was 'taken for a ride' by Joe Manchin",Business Insider,2022-08-06
Critics say the Trump-era wetland rules not for Fla.: Groups inform EPA state still using policy rejected in court 2 years ago,The News Press,2023-02-21
"Conservative Arizona lawmaker used campaign cash for Jan. 6 travel, complaint alleges Arizona Republic A Democratic voter and liberal group accuse conservative state Sen. Anthony Kern of misusing campaign cash in his travel to Washington on",Yellow Sheet Report,2023-11-01
Trade Policy and Clean Energy Investments Will Be Key Issues in Likely Trump-Biden Rematch: [Business/Financial Desk],New York Times,2024-01-29
Climate Change Bill: Zim's trump card,The Herald,2024-06-28
Mr. Trump is bad for green policy. Ms. Harris could be better.,The Washington Post,2024-08-18
Get rid of all cows’: Trump campaign spreads myths about Harris’s climate policy,The New Vision,2024-08-18
"Harris, Trump sharply split on climate policy: Where both candidates stand on key issues",The Daily World,2024-08-25
What Trump can do to reverse US climate policy − and what he probably can’t change,The Conversation : Environment + Energy,2024-11-07
"Liberals, Trump diverge on climate policy; Ottawa brags about carbon tax while president-elect set to axe green agenda",Calgary Herald,2024-11-13
"Liberals, Trump diverge on climate change policy; Ottawa brags about carbon tax while president-elect set to axe green agenda",Edmonton Journal,2024-11-13
Trump should listen to Exxon on climate policy reversals,Bangor Daily News,2024-11-14
"Liberals, Trump climate policy opposites; Ottawa brags about carbon tax while president-elect set to axe green agenda",Star - Phoenix,2024-11-15
Climate change experts gird for policy fight with Trump,USA TODAY,2024-11-20
Trump's re-election sparks climate policy shift: US at a crossroads amid global action,The Pioneer,2024-11-23
Global markets are likely to withstand a Trump-led US withdrawal from the Paris Agreement,EveningReport.nz,2024-12-04
"As Teenagers, They Protested Trump’s Climate Policy. Now What?",New York Times,2024-12-11
"Trump's climate picks worry green advocates: Local leaders highlight resilience, bipartisan efforts, and economic benefits amid shifting federal policy",Rochester Democrat and Chronicle,2024-12-16
Biden order expands Trump's offshore drilling ban from 2020,The Louisiana Weekly,2025-01-13
"In sweeping orders, Trump aims to remake federal policy on border, gender, climate change",USA Today (Online),2025-01-20
President Donald Trump signs executive order withdrawing US from Paris climate accord,The Hindustan Times,2025-01-21
VIDEO: Trump signs order to pull US out of Paris climate agreement,The New Vision,2025-01-21
"Trump executive orders target climate, immigration policy, federal employees",Yerepouni Daily News,2025-01-21
"Two US govs dare Trump, vow to continue action on climate change despite Paris withdrawal",Vanguard,2025-01-21
President Donald Trump’s announcement of US pullout from 2015 Paris Agreement sparks uncertainty,The Telegraph (India),2025-01-22
Trump's second withdrawal from Paris Agreement to cast a shadow over global climate action and new mitigation pledges [US],The Times of India,2025-01-22
Express View on Trump’s withdrawal from Paris Accord: Climate change challenge just got more challenging,Indian Express,2025-01-22
Waaree Energies sinks 7% amid renewable energy stocks rout on Trump policy fears [Stock in news],The Economic Times,2025-01-22
United States: Trump signs executive order withdrawing US from Paris Climate Agreement again,Asia News Monitor,2025-01-23
CEO of World’s Largest Sovereign Wealth Fund Disagrees with Trump’s Climate Policy,The New York Observer,2025-01-24
World: Donald Trump signs executive order to withdraw US from Paris Climate Accord,Asia News Monitor,2025-01-24
Officials reviewing Trump's electric vehicle order,Battle Creek Enquirer,2025-01-26
Waaree Energies shares plunge 9% as renewable energy selloff deepens on Trump policy fears [Stock in news],The Economic Times,2025-01-27
Trump order freezes funding for Illinois EV charging network: Move raises questions about other clean energy projects,Chicago Tribune,2025-01-27
India should double down on climate action in the face of Trump's policy rollback,Mint,2025-02-12
"In Modi-Trump statement, climate mitigation and renewable energy find no mention; oil and gas feature prominently",Indian Express,2025-02-14
Trump hits roadblock on offshore drilling: Biden's last-minute ban under 1953 law has more weight than an executive order,Indianapolis Star,2025-02-16
How Trump’s Paris Climate Agreement withdrawal impacts Zimbabwe and the path forward,The Zimbabwean,2025-02-18
Trump Plan to Repeal Climate Policy Could Upend Shift to Electric Cars,New York Times,2025-02-26
