Date,Close,High,Low,Open,Volume,Log_Return
2015-01-30,22923.09961,23252.90039,21851.19922,21933.59961,741960,0.00721963303
2015-02-02,22840.69922,24984.5,22263.5,22263.5,506444,-0.00360112061
2015-02-03,22428.40039,24489.80078,22263.5,22263.5,456855,-0.0182159677
2015-02-04,21356.40039,22428.40039,21274,22428.40039,744022,-0.0489765515
2015-02-05,20531.80078,21356.40039,20366.90039,21109,1263200,-0.039376537
2015-02-06,20614.30078,21356.40039,20202,20202,521737,0.00401010581
2015-02-09,19459.90039,21026.59961,19295,20614.30078,815425,-0.0576290896
2015-02-10,18635.30078,20202,18140.59961,20202,1228273,-0.0432982846
2015-02-11,19459.90039,19459.90039,17480.90039,17810.80078,559563,0.0432982846
2015-02-12,19212.5,19872.19922,18965.19922,19130.09961,647497,-0.0127948492
2015-02-13,18717.80078,19212.5,18635.30078,18965.19922,695512,-0.0260861244
2015-02-18,18717.80078,18717.80078,18717.80078,18717.80078,0,0
2015-02-19,18717.80078,18717.80078,18717.80078,18717.80078,0,0
2015-02-20,18717.80078,18717.80078,18717.80078,18717.80078,0,0
2015-02-23,18717.80078,18717.80078,18717.80078,18717.80078,0,0
2015-02-24,18717.80078,18717.80078,18717.80078,18717.80078,0,0
2015-02-25,17233.59961,19212.5,16903.69922,18223,2087919,-0.0826140406
2015-02-26,16491.40039,17563.40039,16161.59961,17068.59961,2290036,-0.0440218874
2015-02-27,16573.90039,17398.5,15419.5,16573.90039,2978108,0.00499013584
2015-03-02,16409,16821.30078,16161.59961,16244.09961,1363737,-0.00999922764
2015-03-03,16244.09961,16738.80078,15419.5,16244.09961,2141619,-0.0101002229
2015-03-04,13440.5,13440.5,13440.5,13440.5,691146,-0.189457205
2015-03-05,13770.40039,14759.7998,13687.90039,14759.7998,2668293,0.0242488526
2015-03-06,13110.7002,13852.7998,12945.7998,13770.40039,2289708,-0.0490926837
2015-03-09,12698.40039,13028.2002,12203.7002,12945.7998,3333850,-0.0319526736
2015-03-10,13028.2002,13275.59961,12368.59961,12451,1262594,0.0256402218
2015-03-11,12698.40039,12945.7998,12698.40039,12863.2998,929136,-0.0256402218
2015-03-12,12945.7998,12945.7998,12368.59961,12533.5,841527,0.0192953641
2015-03-13,12945.7998,13110.7002,12698.40039,12780.90039,801385,0
2015-03-16,12698.40039,12945.7998,12616,12945.7998,897556,-0.0192953641
2015-03-17,13028.2002,13110.7002,12368.59961,12451,1163161,0.0256402218
2015-03-18,12863.2998,13028.2002,12698.40039,12863.2998,916233,-0.0127379735
2015-03-19,12698.40039,13110.7002,12698.40039,12698.40039,1280688,-0.0129022483
2015-03-20,12698.40039,12780.90039,12368.59961,12451,670772,0
2015-03-23,12616,13028.2002,12451,12616,910411,-0.00651018238
2015-03-24,12616,12616,12616,12616,0,0
2015-03-25,12616,12616,12616,12616,0,0
2015-03-26,12616,12616,12616,12616,0,0
2015-03-27,12616,12616,12616,12616,0,0
2015-03-30,12616,12616,12616,12616,0,0
2015-03-31,12616,12616,12616,12616,0,0
2015-04-01,12616,12616,12616,12616,0,0
