Date,Close,High,Low,Open,Volume,Log_Return
2016-12-06,42.74595261,42.74595261,42.74595261,42.74595261,100,
2016-12-07,42.74595261,42.74595261,42.74595261,42.74595261,0,0
2016-12-08,42.74595261,42.74595261,42.74595261,42.74595261,0,0
2016-12-09,42.74595261,42.74595261,42.74595261,42.74595261,0,0
2016-12-12,42.74595261,42.74595261,42.74595261,42.74595261,0,0
2016-12-13,43.99484634,43.99484634,43.99484634,43.99484634,200,0.0287979835
2016-12-14,43.99484634,43.99484634,43.99484634,43.99484634,0,0
2016-12-15,43.99484634,43.99484634,43.99484634,43.99484634,0,0
2016-12-16,43.99484634,43.99484634,43.99484634,43.99484634,0,0
2016-12-19,43.99484634,43.99484634,43.99484634,43.99484634,0,0
2016-12-20,43.99484634,43.99484634,43.99484634,43.99484634,0,0
2016-12-21,43.99484634,43.99484634,43.99484634,43.99484634,0,0
2016-12-22,43.99484634,43.99484634,43.99484634,43.99484634,0,0
2016-12-23,43.67598343,43.95942089,43.67598343,43.95942089,300,-0.00727412577
2016-12-27,43.67598343,43.67598343,43.67598343,43.67598343,0,0
2016-12-28,43.67598343,43.67598343,43.67598343,43.67598343,0,0
2016-12-29,43.51299286,43.5253932,43.48110675,43.48110675,4500,-0.00373879284
2016-12-30,43.51299286,43.51299286,43.51299286,43.51299286,0,0
2017-01-03,43.51299286,43.51299286,43.51299286,43.51299286,0,0
2017-01-04,43.51299286,43.51299286,43.51299286,43.51299286,100,0
2017-01-05,43.51299286,43.51299286,43.51299286,43.51299286,0,0
2017-01-06,44.16313171,44.16313171,44.16313171,44.16313171,300,0.014830737
2017-01-09,43.99484634,44.04799213,43.96827514,43.97713446,1000,-0.00381781838
2017-01-10,44.06569672,44.06569672,43.91512209,43.91512209,200,0.00160912902
2017-01-11,44.06569672,44.06569672,44.06569672,44.06569672,0,0
2017-01-12,44.06569672,44.06569672,44.06569672,44.06569672,0,0
2017-01-13,44.06569672,44.06569672,44.06569672,44.06569672,0,0
2017-01-17,43.89741898,43.89741898,43.89741898,43.89741898,200,-0.00382610244
2017-01-18,43.89741898,43.89741898,43.89741898,43.89741898,200,0
2017-01-19,43.89741898,43.89741898,43.89741898,43.89741898,0,0
2017-01-20,43.89741898,43.89741898,43.89741898,43.89741898,0,0
2017-01-23,43.89741898,43.89741898,43.89741898,43.89741898,0,0
2017-01-24,44.20742035,44.20742035,44.02938587,44.0568457,3800,0.0070371311
2017-01-25,44.20742035,44.20742035,44.20742035,44.20742035,0,0
2017-01-26,44.20742035,44.20742035,44.20742035,44.20742035,0,0
2017-01-27,44.411129,44.411129,44.411129,44.411129,400,0.00459743494
2017-01-30,44.411129,44.411129,44.411129,44.411129,0,0
2017-01-31,44.411129,44.411129,44.411129,44.411129,0,0
2017-02-01,44.411129,44.411129,44.411129,44.411129,0,0
2017-02-02,44.411129,44.411129,44.411129,44.411129,0,0
2017-02-03,44.411129,44.411129,44.411129,44.411129,0,0
2017-02-06,44.411129,44.411129,44.411129,44.411129,0,0
2017-02-07,44.50857544,44.51743138,44.50857544,44.51743138,1700,0.00219178598
2017-02-08,44.50857544,44.50857544,44.50857544,44.50857544,0,0
2017-02-09,44.50857544,44.50857544,44.50857544,44.50857544,0,0
2017-02-10,44.72999573,45.07543476,44.72999573,45.07543476,2000,0.00496244482
2017-02-13,44.72999573,44.72999573,44.72999573,44.72999573,0,0
2017-02-14,44.72999573,44.72999573,44.72999573,44.72999573,0,0
2017-02-15,44.72999573,44.72999573,44.72999573,44.72999573,0,0
2017-02-16,44.72999573,44.72999573,44.72999573,44.72999573,0,0
2017-02-17,44.72999573,44.72999573,44.72999573,44.72999573,0,0
2017-02-21,44.72999573,44.72999573,44.72999573,44.72999573,0,0
2017-02-22,44.72999573,44.72999573,44.72999573,44.72999573,0,0
2017-02-23,44.72999573,44.72999573,44.72999573,44.72999573,0,0
2017-02-24,44.72999573,44.72999573,44.72999573,44.72999573,0,0
2017-02-27,45.86375809,45.86375809,45.62460714,45.62460714,900,0.0250308991
2017-02-28,45.86375809,45.86375809,45.86375809,45.86375809,0,0
2017-03-01,45.86375809,45.86375809,45.86375809,45.86375809,0,0
2017-03-02,45.86375809,45.86375809,45.86375809,45.86375809,7500,0
2017-03-03,45.86375809,45.86375809,45.86375809,45.86375809,0,0
2017-03-06,45.86375809,45.86375809,45.86375809,45.86375809,0,0
2017-03-07,45.86375809,45.86375809,45.86375809,45.86375809,0,0
2017-03-08,45.97005081,45.97005081,45.97005081,45.97005081,200,0.00231489412
2017-03-09,45.92576599,45.92576599,45.92576599,45.92576599,400,-0.000963805003
2017-03-10,45.92576599,45.92576599,45.92576599,45.92576599,0,0
2017-03-13,45.92576599,45.92576599,45.92576599,45.92576599,0,0
2017-03-14,45.94346619,45.94346619,45.94346619,45.94346619,300,0.00038533457
2017-03-15,45.94346619,45.94346619,45.94346619,45.94346619,0,0
2017-03-16,45.94346619,45.94346619,45.94346619,45.94346619,0,0
2017-03-17,45.94346619,45.94346619,45.94346619,45.94346619,0,0
2017-03-20,45.94346619,45.94346619,45.94346619,45.94346619,5000,0
2017-03-21,45.67775345,45.73975517,45.67775345,45.70432465,2300,-0.00580026077
2017-03-22,45.67775345,45.67775345,45.67775345,45.67775345,0,0
2017-03-23,45.87261581,45.87261581,45.87261581,45.87261581,300,0.00425694973
2017-03-24,46.15871048,46.15871048,46.15871048,46.15871048,0,0.00621735226
2017-03-27,46.15871048,46.15871048,46.15871048,46.15871048,0,0
2017-03-28,46.15871048,46.15871048,46.15871048,46.15871048,0,0
2017-03-29,46.15871048,46.15871048,46.15871048,46.15871048,0,0
2017-03-30,46.08740997,46.08740997,46.08740997,46.08740997,200,-0.00154587576
2017-03-31,46.08740997,46.08740997,46.08740997,46.08740997,0,0
2017-04-03,45.96263504,45.96263504,45.96263504,45.96263504,100,-0.00271102549
2017-04-04,45.96263504,45.96263504,45.96263504,45.96263504,0,0
2017-04-05,45.96263504,45.96263504,45.96263504,45.96263504,0,0
2017-04-06,45.98759079,46.00719809,45.98759079,46.00719809,500,0.00054280998
2017-04-07,45.98759079,45.98759079,45.98759079,45.98759079,0,0
2017-04-10,45.98759079,45.98759079,45.98759079,45.98759079,0,0
2017-04-11,45.98759079,45.98759079,45.98759079,45.98759079,0,0
2017-04-12,45.98759079,45.98759079,45.98759079,45.98759079,0,0
2017-04-13,45.72198105,45.72198105,45.72198105,45.72198105,200,-0.00579242665
2017-04-17,45.72198105,45.72198105,45.72198105,45.72198105,0,0
2017-04-18,45.72198105,45.72198105,45.72198105,45.72198105,0,0
2017-04-19,45.72198105,45.72198105,45.72198105,45.72198105,0,0
2017-04-20,45.72198105,45.72198105,45.72198105,45.72198105,0,0
2017-04-21,45.72198105,45.72198105,45.72198105,45.72198105,0,0
2017-04-24,45.72198105,45.72198105,45.72198105,45.72198105,0,0
